23 230
1 11 12
1 8 11
1 23 14
1 9 11
1 19 4
1 6 5
1 4 11
1 15 4
1 12 11
1 10 2
2 17 10
2 13 8
2 14 1
2 5 12
2 1 3
2 3 0
2 23 14
2 16 13
3 4 9
3 15 14
3 13 10
3 6 7
3 1 2
3 20 13
3 16 14
3 17 8
3 21 3
3 14 4
3 23 11
3 9 13
3 22 5
4 13 1
4 2 1
4 5 3
4 16 1
4 23 0
4 22 6
4 10 11
4 8 3
5 18 5
5 22 1
5 11 4
5 14 1
5 1 7
5 19 8
5 15 4
5 20 10
5 9 2
5 3 4
5 21 13
6 23 0
6 2 2
6 8 12
6 12 6
6 13 14
6 15 3
6 20 2
6 5 11
6 10 14
6 19 0
6 4 8
6 7 4
7 3 1
7 1 6
7 18 4
7 2 10
7 22 2
7 4 9
7 5 2
7 17 14
7 20 11
8 5 1
8 18 8
8 19 9
8 10 8
8 3 13
8 12 12
8 22 3
8 13 8
8 20 10
8 9 13
8 21 8
8 16 3
8 2 5
8 17 10
9 13 7
9 14 13
9 7 12
9 4 13
9 11 12
9 20 7
9 23 6
9 10 12
9 17 2
9 6 3
10 18 2
10 19 10
10 7 7
10 2 14
10 5 11
10 11 9
10 12 0
10 3 3
11 14 13
11 4 10
11 7 6
11 20 5
11 13 5
11 3 13
11 17 14
11 2 4
11 8 1
11 6 5
12 2 5
12 14 5
12 11 12
12 21 4
12 3 12
12 5 1
12 4 0
12 7 13
12 9 12
12 15 11
12 23 12
12 18 9
12 20 10
13 22 12
13 10 5
13 17 4
13 1 5
13 14 3
13 5 14
13 21 14
14 7 13
14 8 7
14 17 11
14 4 12
14 10 7
14 21 4
14 18 1
14 22 14
14 6 4
14 1 0
15 2 6
15 22 3
15 18 12
15 7 7
15 14 5
15 4 14
16 11 6
16 23 9
16 22 10
16 19 12
16 5 5
16 7 13
16 18 6
16 12 10
16 15 9
16 1 10
16 13 13
16 10 4
16 14 4
17 12 13
17 5 2
17 4 5
17 22 3
17 1 11
17 21 11
17 23 8
17 19 8
17 6 14
17 15 10
18 17 9
18 6 11
18 4 12
18 2 10
18 11 3
18 3 12
18 9 8
18 13 6
19 4 14
19 18 11
19 9 6
19 2 3
19 15 7
19 22 5
19 11 4
19 13 8
19 12 12
19 3 9
20 14 13
20 18 2
20 15 4
20 13 10
20 21 5
20 19 3
20 10 9
20 4 0
20 17 13
20 2 7
21 11 7
21 18 12
21 19 5
21 9 1
21 4 10
21 2 3
21 22 14
21 7 2
21 16 5
21 6 1
21 15 13
22 12 7
22 20 2
22 9 1
22 11 -3
22 10 13
22 1 13
22 18 13
23 22 8
23 10 4
23 21 8
23 13 -4
23 18 12
23 7 -3
23 8 11
23 19 12
23 15 7
23 14 10
23 11 -4
23 20 9
